Authors,Title,Model,"Corpora
R-1
R-2
R-LCS"
Rush et.al 2015,A Neural Attention Model for Sentence Summarization,"Conv-Seq2Seq + attn 
LM 
Code","Gigaword
31
12.65
28.34"
,,,
Nallapati et.al 2016,Abstractive Text Summarization using Sequence-to-sequence RNNs and Beyond,"RNN-Seq2Seq + attn 
Large vocabulary trick 
H-attn 
Pointer-attn 
Code","CNN-DM
32.49
11.84
29.47
Gigaword
34.19
16.29
32.13"
,,,
Chopra et.al 2016,Abstractive Sentence Summarization with Attentive Recurrent Neural Networks,"Conv-enc 
RNN-dec 
attn 
Pos-emb","Gigaword
33.78
15.97
31.15"
,,,
Nallapati et.al 2017,SummaRuNNer: A Recurrent Neural Network based Sequence Model for Extractive Summarization of Documents,RNN-Seq2Seq + attn,"CNN-DM
39.6
16.2
35.3"
,,,
Xu et.al 2017,Decoupling Encoder and Decoder Networks for Abstractive Document Summarization,"doc2vec-enc 
RNN-dec","Gigaword
30.7
11.3
27.6"
,,,
Suzuki et.al 2017,Cutting-off Redundant Repeating Generations for Neural Abstractive Summarization,RNN-Seq2Seq + attn,"Gigaword
36.30
17.31
33.88"
,,,
Tan et.al 2017,Abstractive Document Summarization with a Graph-Based Attentional Neural Model,"RNN-Seq2Seq 
H-attn 
Code","CNN-DM
38.1
13.9
34"
,,,
Cheng et.al 2016,Neural Summarization by Extracting Sentences and Words,"Conv-enc + RNN-enc 
H-attn 
RNN-dec 
Code","DailyMail
21.2
8.3
12"
,,,
Zhou et.al 2017,Selective Encoding for Abstractive Sentence Summarization,"RNN-Seq2Seq 
GRU-selection-gate 
Code","Gigaword
36.15
17.54
33.63"
,,,
Tan et.al 2017,From Neural Sentence Summarization to Headline Generation: A Coarse-to-Fine Approach,"RNN-Seq2Seq + attn 
Code","NYT
29.6
8.17
26.05"
,,,
Li et.al 2017,Deep Recurrent Generative Decoder for Abstractive Text Summarization,"RNN-Seq2Seq + attn 
Code","Gigaword
36.27
17.57
33.62"
,,,
Pasunuru et.al 2017,Towards Improving Abstractive Summarization via Entailment Generation,"RNN-Seq2Seq + attn 
Code","Gigaword
32.75
15.35
30.82"
,,,
Paulus et.al 2017,A Deep Reinforced Model for Abstractive Summarization,"RNN-Seq2Seq + Intra-attn 
Code","CNN-DM
39.87
15.82
36.90
NYT
47.03
30.72
43.10"
,,,
See et.al 2017,Get To The Point: Summarization with Pointer-Generator Networks,"RNN-Seq2Seq 
Pointer-attn 
Coverage-attn 
Code","CNN-DM
39.53
17.28
36.38"
,,,
